(Reais Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código da Conta,Descrição da Conta,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/31/2011,3/31/2012,6/30/2012,9/30/2012,12/31/2012,3/31/2013,6/30/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018,3/31/2019,6/30/2019,9/30/2019,12/31/2019,3/31/2020,6/30/2020,9/30/2020
1,Ativo Total,"  6,583,066 ","  6,417,038 ","  7,343,910 ","  7,365,112 ","  7,511,164 ","  7,424,388 ","  7,979,509 ","  8,695,827 ","  9,105,861 ","  8,824,120 ","  9,109,705 ","  8,757,033 ","  8,873,550 ","  9,496,435 ","  9,542,922 ","  9,552,065 ","  10,141,293 ","  9,898,693 ","  10,362,672 ","  10,902,810 ","  11,782,630 ","  12,951,305 ","  13,121,290 ","  14,289,917 ","  14,261,541 ","  13,458,854 ","  13,048,678 ","  13,634,825 ","  13,481,407 ","  13,446,033 ","  14,181,424 ","  13,964,453 ","  13,981,142 ","  14,522,184 ","  15,464,046 ","  16,274,130 ","  15,399,850 ","  15,226,982 ","  14,907,806 ","  15,479,421 ","  15,687,641 ","  17,371,333 ","  18,007,781 ","  19,048,875 "
1.01,Ativo Circulante,"  3,973,158 ","  3,803,788 ","  4,591,996 ","  4,628,280 ","  4,794,009 ","  4,731,859 ","  5,069,586 ","  5,742,007 ","  5,867,061 ","  5,478,846 ","  6,020,120 ","  5,657,018 ","  5,710,017 ","  6,310,741 ","  6,339,494 ","  6,306,860 ","  6,851,281 ","  6,602,879 ","  6,886,608 ","  7,285,224 ","  8,063,213 ","  9,046,596 ","  9,029,165 ","  9,679,358 ","  9,589,344 ","  8,713,628 ","  8,648,557 ","  9,182,023 ","  9,127,483 ","  9,094,229 ","  9,682,775 ","  9,462,943 ","  9,415,667 ","  9,569,643 ","  9,968,378 ","  10,075,121 ","  9,438,581 ","  9,089,843 ","  8,803,475 ","  9,649,841 ","  9,760,902 ","  10,600,706 ","  10,827,449 ","  11,581,761 "
1.01.01,Caixa e Equivalentes de Caixa,"  30,948 ","  79,936 ","  86,583 ","  59,937 ","  2,552,996 ","  2,487,136 ","  2,674,637 ","  3,086,568 ","  2,931,615 ","  2,563,889 ","  2,626,935 ","  2,268,231 ","  2,302,256 ","  3,013,804 ","  3,034,080 ","  2,937,836 ","  3,372,130 ","  3,247,375 ","  3,285,865 ","  3,223,617 ","  3,284,275 ","  3,588,629 ","  3,616,770 ","  3,411,805 ","  3,277,115 ","  2,477,210 ","  2,720,005 ","  3,406,774 ","  3,390,662 ","  3,369,965 ","  3,635,476 ","  3,273,239 ","  3,162,685 ","  3,032,815 ","  2,703,771 ","  1,818,725 ","  2,205,700 ","  1,967,509 ","  1,843,868 ","  2,100,404 ","  1,946,044 ","  1,587,547 ","  1,677,417 ","  2,616,485 "
1.01.01.01,Caixas e Bancos,  -   ,  -   ,  -   ,  -   ,"  53,971 ","  62,127 ","  60,694 ","  104,334 ","  59,512 ","  98,895 ","  101,142 ","  137,844 ","  211,295 ","  127,858 ","  104,640 ","  216,105 ","  248,149 ","  357,468 ","  286,469 ","  256,312 ","  302,346 ","  421,591 ","  374,017 ","  481,447 ","  477,710 ","  323,157 ","  285,846 ","  208,469 ","  223,267 ","  224,780 ","  205,582 ","  200,829 ","  224,249 ","  341,301 ","  343,977 ","  343,406 ","  286,783 ","  416,857 ","  276,410 ","  328,972 ","  396,233 ","  525,386 ","  378,355 ","  386,530 "
1.01.01.02,Aplicações Financeiras,  -   ,  -   ,  -   ,  -   ,"  2,499,025 ","  2,425,009 ","  2,613,943 ","  2,982,234 ","  2,872,103 ","  2,464,994 ","  2,525,793 ","  2,130,387 ","  2,090,961 ","  2,885,946 ","  2,929,440 ","  2,721,731 ","  3,123,981 ","  2,889,907 ","  2,999,396 ","  2,967,305 ","  2,981,929 ","  3,167,038 ","  3,242,753 ","  2,930,358 ","  2,799,405 ","  2,154,053 ","  2,434,159 ","  3,198,305 ","  3,167,395 ","  3,145,185 ","  3,429,894 ","  3,072,410 ","  2,938,436 ","  2,691,514 ","  2,359,794 ","  1,475,319 ","  1,918,917 ","  1,550,652 ","  1,567,458 ","  1,771,432 ","  1,549,811 ","  1,062,161 ","  1,299,062 ","  2,229,955 "
1.01.02,Aplicações Financeiras,"  2,096,169 ","  1,882,602 ","  2,376,948 ","  2,339,836 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  251,540 ","  256,634 ","  261,244 ","  265,714 ",  -   ,  -   ,  -   ,  -   ,"  76,570 ","  228,431 ","  865,162 ","  883,585 ","  938,866 ","  877,157 ","  1,157,644 ","  1,263,978 ","  1,306,954 ","  1,329,059 ","  1,373,287 ","  1,423,320 ","  1,434,584 ","  1,484,343 ","  1,411,046 ","  1,454,614 ","  1,553,425 ","  2,119,155 ","  1,324,188 ","  925,042 ","  938,886 ","  1,335,683 ","  1,444,227 ","  1,311,648 ","  1,172,419 ","  981,085 "
1.01.03,Contas a Receber,"  910,136 ","  864,517 ","  960,353 ","  1,026,652 ","  1,044,712 ","  1,026,094 ","  1,095,847 ","  1,162,056 ","  1,307,692 ","  1,263,963 ","  1,350,250 ","  1,411,747 ","  1,472,839 ","  1,347,331 ","  1,554,042 ","  1,562,243 ","  1,658,806 ","  1,576,829 ","  1,637,568 ","  1,747,503 ","  1,867,864 ","  2,054,676 ","  2,050,968 ","  2,576,676 ","  2,545,927 ","  2,490,042 ","  2,421,573 ","  2,267,128 ","  2,251,922 ","  2,140,661 ","  2,239,477 ","  2,233,281 ","  2,242,613 ","  2,265,744 ","  2,589,700 ","  2,564,768 ","  2,440,844 ","  2,429,474 ","  2,474,176 ","  2,488,671 ","  2,747,084 ","  3,241,121 ","  3,385,942 ","  3,564,454 "
1.01.03.01,Clientes,"  910,136 ","  864,517 ","  960,353 ","  1,026,652 ","  1,044,712 ","  1,026,094 ","  1,095,847 ","  1,162,056 ","  1,307,692 ","  1,263,963 ","  1,350,250 ","  1,411,747 ","  1,472,839 ","  1,347,331 ","  1,554,042 ","  1,562,243 ","  1,658,806 ","  1,576,829 ","  1,637,568 ","  1,747,503 ","  1,867,864 ","  2,054,676 ","  2,050,968 ","  2,576,676 ","  2,545,927 ","  2,490,042 ","  2,421,573 ","  2,267,128 ","  2,251,922 ","  2,140,661 ","  2,239,477 ","  2,233,281 ","  2,242,613 ","  2,265,744 ","  2,589,700 ","  2,564,768 ","  2,440,844 ","  2,429,474 ","  2,474,176 ","  2,488,671 ","  2,747,084 ","  3,241,121 ","  3,385,942 ","  3,564,454 "
1.01.04,Estoques,"  758,116 ","  812,461 ","  971,196 ","  1,015,175 ","  1,008,952 ","  1,019,551 ","  1,086,034 ","  1,269,623 ","  1,362,314 ","  1,371,264 ","  1,459,793 ","  1,389,619 ","  1,306,273 ","  1,316,606 ","  1,368,012 ","  1,467,641 ","  1,445,927 ","  1,461,766 ","  1,541,091 ","  1,672,573 ","  1,704,919 ","  1,909,593 ","  1,954,542 ","  2,248,834 ","  2,009,254 ","  1,868,740 ","  1,644,214 ","  1,647,138 ","  1,575,055 ","  1,594,669 ","  1,754,780 ","  1,836,737 ","  1,852,266 ","  2,014,530 ","  2,328,357 ","  2,518,626 ","  2,458,410 ","  2,498,116 ","  2,583,387 ","  2,901,751 ","  2,817,129 ","  3,552,515 ","  3,727,943 ","  3,586,598 "
1.01.06,Tributos a Recuperar,"  97,122 ","  93,072 ","  98,244 ","  104,423 ","  107,182 ","  118,144 ","  127,932 ","  139,791 ","  156,076 ","  166,464 ","  195,200 ","  188,416 ","  183,627 ","  158,070 ","  170,070 ","  166,574 ","  166,384 ","  148,947 ","  153,858 ","  149,674 ","  159,446 ","  189,977 ","  214,644 ","  234,592 ","  266,944 ","  276,560 ","  276,319 ","  264,717 ","  269,626 ","  280,273 ","  342,081 ","  367,578 ","  419,845 ","  490,067 ","  442,556 ","  453,081 ","  421,938 ","  490,132 ","  527,774 ","  462,029 ","  394,839 ","  485,623 ","  434,018 ","  353,672 "
